seed,chunk,target,start_mol_idx,sim_threshold,start_ds,task_marker,chunk_marker,file,result_exists,calls,unique_smiles,duplicate_rows,malformed_rows,feasibility_leaks,budget_excess,loose_success,strict_success,best_feasible_ds,strict_score_signed,dock_shortfall,outer_iteration,log_task_done,log_no_feasible,log_task_failed,status
0,0,parp1,0,0.4,7.3,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/parp1_id0_thr0.4_0.csv,True,554,554,0,0,0,0,True,True,12.6,-12.6,0.0,10,True,False,False,DONE
0,4,parp1,0,0.6,7.3,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/parp1_id0_thr0.6_0.csv,True,257,257,0,0,0,0,True,True,13.5,-13.5,0.0,10,True,False,False,DONE
0,0,parp1,1,0.4,7.8,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/parp1_id1_thr0.4_0.csv,True,384,384,0,0,0,0,True,True,12.1,-12.1,0.0,10,True,False,False,DONE
0,4,parp1,1,0.6,7.8,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/parp1_id1_thr0.6_0.csv,True,155,155,0,0,0,0,True,True,12.2,-12.2,0.0,10,True,False,False,DONE
0,0,parp1,2,0.4,8.2,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/parp1_id2_thr0.4_0.csv,True,325,325,0,0,0,0,True,True,13.1,-13.1,0.0,10,True,False,False,DONE
0,4,parp1,2,0.6,8.2,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/parp1_id2_thr0.6_0.csv,True,150,150,0,0,0,0,True,True,12.5,-12.5,0.0,10,True,False,False,DONE
0,0,fa7,0,0.4,6.4,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/fa7_id0_thr0.4_0.csv,True,54,54,0,0,0,0,True,True,8.2,-8.2,0.0,10,True,False,False,DONE
0,3,fa7,0,0.6,6.4,True,False,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/fa7_id0_thr0.6_0.csv,True,3,3,0,0,0,0,True,True,7.6,-7.6,0.0,10,True,False,False,DONE
0,0,fa7,1,0.4,6.7,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/fa7_id1_thr0.4_0.csv,True,278,278,0,0,0,0,True,True,10.3,-10.3,0.0,10,True,False,False,DONE
0,1,fa7,1,0.6,6.7,True,True,CSDNet/exp/lead/results_elastic_joint_frontier_v5r_final_base50k_seed0/fa7_id1_thr0.6_0.csv,True,62,62,0,0,0,0,True,True,7.5,-7.5,0.0,10,True,False,False,DONE
