task,seed,validity,uniqueness,quality,diversity,distance,mean_qed,mean_sa
linker_design,0,0.9359999999999999,0.6325549767942502,0.25,0.4526969038052096,0.5059984292829759,0.5785984207965071,3.4950334285414657
linker_design,1,0.942,0.6395466312974681,0.22399999999999998,0.4548837220067778,0.5056860238325734,0.5711147764146453,3.5132072184859915
linker_design,2,0.9349999999999999,0.6375136661061387,0.22999999999999998,0.45736285790425446,0.5034215864505859,0.574569207028903,3.502934610952122
motif_extension,0,0.9949999999999999,0.955989898989899,0.381,0.5873552235989055,0.6553895174144742,0.5386802530349397,3.1800728605477753
motif_extension,1,0.999,0.9369999999999999,0.385,0.5901608751644659,0.6557540493598494,0.5440844091934961,3.191670778482926
motif_extension,2,0.998,0.95,0.417,0.5877448917501212,0.6548394709607507,0.5529403146912922,3.1683092372574615
scaffold_decoration,0,0.807,0.8120092157637689,0.36100000000000004,0.47115996179531255,0.5573974444046751,0.6605099847883308,3.574035893949746
scaffold_decoration,1,0.819,0.7930486188731096,0.368,0.4620014698897535,0.5533360625791337,0.6703471976618778,3.5695248938479325
scaffold_decoration,2,0.8300000000000001,0.7819732938174276,0.365,0.4630890645590692,0.554901171079922,0.6689433682169577,3.560388318082687
scaffold_morphing,0,0.9359999999999999,0.6325549767942502,0.25,0.4526969038052096,0.5059984292829759,0.5785984207965071,3.4950334285414657
scaffold_morphing,1,0.942,0.6395466312974681,0.22399999999999998,0.4548837220067778,0.5056860238325734,0.5711147764146453,3.5132072184859915
scaffold_morphing,2,0.9349999999999999,0.6375136661061387,0.22999999999999998,0.45736285790425446,0.5034215864505859,0.574569207028903,3.502934610952122
superstructure_generation,0,1.0,0.783,0.41500000000000004,0.564053525643809,0.7206330436202513,0.6385523548523402,3.2311760126622877
superstructure_generation,1,1.0,0.781,0.41100000000000003,0.5626614246143039,0.7240550988429966,0.639860776028855,3.2178817688083767
superstructure_generation,2,1.0,0.78,0.417,0.5670316067563008,0.720581719631707,0.6327021710553897,3.2160415905643305
