oracle,n_seeds,auc_top1_mean,auc_top1_std,auc_top10_mean,auc_top10_std,auc_top100_mean,auc_top100_std,avg_top1_mean,avg_top1_std,avg_top10_mean,avg_top10_std,avg_top100_mean,avg_top100_std,best_score_mean,best_score_std
albuterol_similarity,3,0.9572035054150464,0.016258532703499282,0.9413267871582646,0.020168857275743905,0.8997502420978826,0.025161495658003248,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
amlodipine_mpo,3,0.8176695402361492,0.030372038567929128,0.8022088742905867,0.020129067526005937,0.7716755649583824,0.013907573105267041,0.8646831994924616,0.02766056013082253,0.8385655811465241,0.026015626036475725,0.8107622642662152,0.018939143713442515,0.8646831994924616,0.02766056013082253
celecoxib_rediscovery,3,0.9538572031348888,0.018738993306557275,0.8562613504640725,0.011741770428676107,0.7905755021590147,0.011037309321936308,1.0,0.0,0.8947368421052632,0.0,0.8518127670466854,0.001943525704526189,1.0,0.0
deco_hop,3,0.9750870542047281,0.00953632272000814,0.970008866258238,0.010090571805850306,0.9558659332223466,0.011195342530534214,1.0,0.0,1.0,0.0,0.9995676461815064,0.0007488587804773323,1.0,0.0
drd2,3,0.9949999620693263,1.9311456952075697e-08,0.9949209225774086,1.8570992866310286e-05,0.9900368187847598,0.00041003781748295235,0.9999999992062488,9.688608183347357e-10,0.9999999991120806,9.904155495888673e-10,0.9999999983168452,1.4433216604313134e-09,0.9999999992062488,9.688608183347357e-10
fexofenadine_mpo,3,0.8971761159402627,0.030677905575262263,0.8880224644372423,0.028392581381364048,0.8673706633911227,0.025121577680232914,0.941632205662,0.05365172181040405,0.9378051193860251,0.05309435460909488,0.9237969381516423,0.04744142456088284,0.941632205662,0.05365172181040405
gsk3b,3,0.9800333333333334,0.005325723737984707,0.9730350000000008,0.005386165147858138,0.9595756666666668,0.005951145274931333,1.0,0.0,0.997,0.005196152422706636,0.9954666666666666,0.005002332789142822,1.0,0.0
isomers_c7h8n2o2,3,0.9536268656787875,0.010939577778272558,0.9279055907870456,0.015023998964320235,0.8597806504439919,0.023891648317284526,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
isomers_c9h10n2o2pf2cl,3,0.9062449533438216,0.006394753773655583,0.8778616399453615,0.008831096780012914,0.8060478899338528,0.007592216406035994,0.9394130628134758,0.0,0.9345583129477187,0.005114796364232367,0.8934307945612217,0.012918646157623642,0.9394130628134758,0.0
jnk3,3,0.9184666666666667,0.014632953677686996,0.9094383333333336,0.015591709602649249,0.8895173333333334,0.017050482517610283,0.9533333333333333,0.011547005383792525,0.9496666666666665,0.008504900548115412,0.9417999999999999,0.00956608592894715,0.9533333333333333,0.011547005383792525
median1,3,0.35935930936383326,0.014196748153483298,0.32584063524895357,0.0007398982431329381,0.2967657049269857,0.000747049110367738,0.39359449387991097,0.011094662048187473,0.3636364192573415,0.008063983624271881,0.3364839802899295,0.005627323654235904,0.39359449387991097,0.011094662048187473
median2,3,0.3444390197190281,0.005773022555017231,0.3361635869380424,0.005223933562923502,0.32142130056166046,0.004340832718466242,0.354942617278957,0.007588228459499829,0.3474985360741026,0.004397360948250613,0.3368882618368008,0.002862377761061891,0.354942617278957,0.007588228459499829
mestranol_similarity,3,0.6878253361682108,0.03969674453311191,0.6614539924422106,0.0340014449676425,0.6123117093060532,0.02625584178251801,0.8119570322940522,0.07191157807124036,0.8009086629809558,0.06449973333461663,0.7694752711382273,0.05104433622594161,0.8119570322940522,0.07191157807124036
osimertinib_mpo,3,0.8820920592259093,0.011365259212652476,0.876910093057386,0.010419381863272344,0.8654327011286327,0.008247896590638354,0.9017575200373947,0.014243719554065256,0.8966632179863282,0.012191997997519972,0.8897174295860101,0.011614190764063793,0.9017575200373947,0.014243719554065256
